step,time,obst_px,obst_py,obst_pz,obst_vx,obst_vy,obst_vz,obst_radius,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,qvel_21,qvel_22,qvel_23,qvel_24,qvel_25,qvel_26,qvel_27,qvel_28,qvel_29,qvel_30,qvel_31,qvel_32,cap_site_0_head_sensor_0,cap_site_1_head_sensor_1,cap_site_2_head_sensor_2,cap_site_3_head_sensor_3,cap_site_4_head_sensor_4,cap_site_5_head_sensor_5,cap_site_6_torso_sensor_0,cap_site_7_torso_sensor_1,cap_site_8_torso_sensor_2,cap_site_9_torso_sensor_3,cap_site_10_torso_sensor_4,cap_site_11_torso_sensor_5,cap_site_12_torso_sensor_6,cap_site_13_torso_sensor_7,cap_site_14_torso_sensor_8,cap_site_15_torso_sensor_9,cap_site_16_torso_sensor_10,cap_site_17_left_shoulder_roll_sensor_0,cap_site_18_left_shoulder_roll_sensor_1,cap_site_19_left_shoulder_roll_sensor_2,cap_site_20_left_shoulder_roll_sensor_3,cap_site_21_left_shoulder_roll_sensor_4,cap_site_22_left_shoulder_roll_sensor_5,cap_site_23_left_shoulder_roll_sensor_6,cap_site_24_left_shoulder_roll_sensor_7,cap_site_25_left_shoulder_yaw_sensor_0,cap_site_26_left_shoulder_yaw_sensor_1,cap_site_27_left_shoulder_yaw_sensor_2,cap_site_28_left_shoulder_yaw_sensor_3,cap_site_29_left_shoulder_yaw_sensor_4,cap_site_30_left_shoulder_yaw_sensor_5,cap_site_31_left_elbow_sensor_0,cap_site_32_left_elbow_sensor_1,cap_site_33_left_elbow_sensor_2,cap_site_34_left_elbow_sensor_3,cap_site_35_left_elbow_sensor_4,cap_site_36_left_elbow_sensor_5,cap_site_37_left_elbow_sensor_6,cap_site_38_left_elbow_sensor_7,cap_site_39_left_elbow_sensor_8,cap_site_41_right_shoulder_roll_sensor_0,cap_site_42_right_shoulder_roll_sensor_1,cap_site_43_right_shoulder_roll_sensor_2,cap_site_44_right_shoulder_roll_sensor_3,cap_site_45_right_shoulder_roll_sensor_4,cap_site_46_right_shoulder_roll_sensor_5,cap_site_47_right_shoulder_roll_sensor_6,cap_site_48_right_shoulder_roll_sensor_7,cap_site_49_right_shoulder_yaw_sensor_0,cap_site_50_right_shoulder_yaw_sensor_1,cap_site_51_right_shoulder_yaw_sensor_2,cap_site_52_right_shoulder_yaw_sensor_3,cap_site_53_right_shoulder_yaw_sensor_4,cap_site_54_right_shoulder_yaw_sensor_5,cap_site_55_right_elbow_sensor_0,cap_site_56_right_elbow_sensor_1,cap_site_57_right_elbow_sensor_2,cap_site_58_right_elbow_sensor_3,cap_site_59_right_elbow_sensor_4,cap_site_60_right_elbow_sensor_5,cap_site_61_right_elbow_sensor_6,cap_site_62_right_elbow_sensor_7,cap_site_63_right_elbow_sensor_8,cmd_vx,cmd_vy,cmd_vz
1,0.002,-0.2198,0.4142,1.0,0.8025,-0.8242,4.1703,0.0499,0.19,0.0,1.028,1.0,-0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0002,0.0,-0.0005,-0.0005,-0.0003,0.0003,0.0006,0.0002,-0.0002,0.0003,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0043,-0.0125,0.0043,-0.0825,-0.0292,-0.0412,0.0253,0.0053,0.1297,0.0804,0.0248,-0.2436,-0.2644,-0.1575,0.1499,0.279,0.1173,-0.103,0.1323,0.0541,-0.0129,-0.0106,0.0367,0.0004,0.0019,-0.0003,0.1111,-0.0206,-0.0003,0.074,0.0007,0.0016,-0.0001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
2,0.004,-0.2182,0.4126,1.0083,0.8025,-0.8242,4.1507,0.0499,0.19,0.0,1.028,1.0,-0.0001,0.0,-0.0002,0.0001,0.0001,0.0004,-0.0001,0.0004,-0.0008,-0.0008,-0.0013,0.0004,0.0019,0.0002,0.0,0.0007,0.0004,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0,0.0003,0.0,0.0,0.0,-0.0073,-0.0055,0.0018,-0.0193,0.0586,-0.1877,0.0071,0.0367,0.0573,-0.1267,0.1625,-0.1535,-0.1457,-0.5151,0.0425,0.6907,-0.031,0.0864,0.1989,0.1475,0.056,0.0177,-0.0092,0.0003,0.0015,0.0002,0.118,0.0395,0.0188,0.0987,0.001,0.0043,0.0003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
3,0.006,-0.2166,0.4109,1.0166,0.8025,-0.8242,4.131,0.0499,0.19,0.0,1.028,1.0,-0.0001,0.0002,-0.0005,0.0001,0.0001,0.0004,-0.0006,0.0007,-0.0012,-0.0014,-0.0031,0.0005,0.0041,0.0,0.0001,0.0013,0.0008,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0007,0.0001,0.0001,0.0006,0.0,0.0,0.0,-0.0186,-0.0013,0.0051,-0.0027,0.144,-0.2806,0.0266,0.0057,0.0262,-0.2338,0.1774,-0.1882,-0.2896,-0.8873,0.0405,1.0943,-0.1093,0.0705,0.3012,0.1949,0.0508,0.025,-0.0338,0.0001,0.0021,0.0004,0.1408,0.0187,0.0189,0.1243,0.0011,0.0078,0.0004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
4,0.008,-0.215,0.4093,1.0248,0.8025,-0.8242,4.1114,0.0499,0.1899,0.0,1.028,1.0,-0.0001,0.0004,-0.0009,0.0002,0.0,0.0004,-0.0012,0.0011,-0.0016,-0.0022,-0.0056,0.0005,0.0071,-0.0004,0.0002,0.0021,0.0013,0.0003,0.0001,-0.0001,0.0,0.0,0.0,0.0011,0.0001,0.0001,0.0009,0.0,0.0,0.0,-0.03,0.0026,0.0087,0.0115,0.2302,-0.364,0.0415,-0.0343,-0.0001,-0.3298,0.1927,-0.2189,-0.4054,-1.2386,0.0407,1.4694,-0.1869,0.0568,0.3927,0.2389,0.0461,0.0315,-0.0567,0.0,0.0025,0.0006,0.1623,-0.0002,0.0187,0.1459,0.0012,0.0106,0.0005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
5,0.01,-0.2134,0.4076,1.033,0.8025,-0.8242,4.0918,0.0499,0.1898,0.0,1.028,1.0,0.0,0.0007,-0.0014,0.0004,-0.0001,0.0003,-0.0021,0.0015,-0.0021,-0.004,-0.0088,0.0007,0.0105,-0.0014,0.0001,0.0031,0.0018,0.0004,0.0002,-0.0003,0.0,0.0,0.0,0.0014,0.0001,0.0001,0.0012,0.0,0.0001,0.0,-0.0374,0.0064,0.0042,0.0483,0.2963,-0.4964,0.1243,-0.0391,-0.0535,-0.4393,0.2036,-0.2327,-0.9027,-1.5844,0.0715,1.6924,-0.4767,-0.0479,0.5192,0.2885,0.0552,0.0366,-0.0801,-0.0003,0.0027,0.0008,0.1728,-0.0044,0.0177,0.1492,0.0009,0.0127,0.0006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
6,0.012,-0.2118,0.406,1.0411,0.8025,-0.8242,4.0722,0.0499,0.1897,0.0,1.028,1.0,0.0,0.0011,-0.002,0.0008,-0.0001,0.0001,-0.0032,0.002,-0.0025,-0.0067,-0.0125,0.0009,0.0142,-0.0028,-0.0002,0.0044,0.0025,0.0005,0.0003,-0.0005,0.0,0.0,0.0,0.0018,0.0001,0.0002,0.0015,0.0,0.0001,0.0,-0.0439,0.0102,-0.0002,0.0854,0.3557,-0.6231,0.1713,-0.0373,-0.1052,-0.5383,0.2357,-0.1958,-1.3632,-1.8848,0.0989,1.8634,-0.7289,-0.1469,0.6367,0.3361,0.066,0.0411,-0.0986,-0.0005,0.0029,0.001,0.1821,-0.0059,0.0167,0.1519,0.0007,0.0145,0.0007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
7,0.014,-0.2102,0.4043,1.0492,0.8025,-0.8242,4.0526,0.0499,0.1896,0.0,1.0281,1.0,0.0001,0.0015,-0.0027,0.001,-0.0003,-0.0001,-0.0044,0.0025,-0.0028,-0.0093,-0.0167,0.0011,0.0184,-0.0041,-0.0004,0.0057,0.0033,0.0006,0.0004,-0.0007,0.0,0.0,0.0,0.0022,0.0,0.0002,0.0018,0.0,0.0001,0.0,-0.0531,0.0139,0.0054,0.0928,0.4237,-0.6601,0.1268,-0.073,-0.1188,-0.6021,0.27,-0.1819,-1.2906,-2.0862,0.083,2.1008,-0.6595,-0.1263,0.6794,0.3698,0.0604,0.0454,-0.1074,-0.0005,0.0033,0.0011,0.204,-0.0223,0.0159,0.1745,0.0009,0.0166,0.0008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
8,0.016,-0.2086,0.4027,1.0573,0.8025,-0.8242,4.0329,0.0499,0.1895,0.0001,1.0281,1.0,0.0002,0.002,-0.0033,0.0012,-0.0005,-0.0004,-0.0057,0.0031,-0.0032,-0.0118,-0.0212,0.0012,0.0229,-0.0053,-0.0006,0.0071,0.0041,0.0008,0.0005,-0.0009,0.0,0.0,0.0,0.0026,-0.0001,0.0002,0.0022,0.0,0.0002,0.0,-0.0612,0.0176,0.0104,0.1005,0.4843,-0.689,0.0823,-0.1037,-0.1321,-0.6603,0.3021,-0.1692,-1.2331,-2.2517,0.0684,2.2791,-0.5847,-0.109,0.7134,0.4005,0.0551,0.0486,-0.1137,-0.0005,0.0038,0.0012,0.2245,-0.0374,0.0145,0.1945,0.001,0.0184,0.0008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
9,0.018,-0.207,0.4011,1.0653,0.8025,-0.8242,4.0133,0.0499,0.1894,0.0001,1.0281,1.0,0.0003,0.0024,-0.0041,0.0015,-0.0004,-0.0005,-0.0075,0.0039,-0.0035,-0.0142,-0.0257,0.0015,0.0275,-0.006,-0.0009,0.0089,0.0051,0.0009,0.0006,-0.0011,0.0,0.0001,0.0,0.0033,-0.0002,0.0003,0.0028,0.0,0.0002,0.0,-0.0546,0.0098,0.0151,0.0387,0.471,-0.7964,0.1231,0.0497,-0.0363,-0.876,0.3941,-0.1482,-1.213,-2.2513,0.1678,2.2704,-0.3588,-0.1252,0.8619,0.5088,0.0531,0.0424,-0.0623,-0.0003,0.006,0.0011,0.3101,-0.0595,0.0142,0.2896,0.0017,0.0233,-0.0013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
10,0.02,-0.2054,0.3994,1.0733,0.8025,-0.8242,3.9937,0.0499,0.1893,0.0001,1.0281,1.0,0.0003,0.0029,-0.005,0.0019,-0.0002,-0.0004,-0.0093,0.0048,-0.0037,-0.0175,-0.0301,0.0022,0.0315,-0.0068,-0.0012,0.0108,0.0063,0.001,0.0006,-0.0011,0.0,0.0001,0.0,0.004,-0.0003,0.0003,0.0035,0.0,0.0003,0.0,-0.046,0.0008,0.0095,-0.0009,0.4486,-0.874,0.2103,0.1143,0.0276,-0.9299,0.4173,-0.1089,-1.6274,-2.1831,0.3243,2.0001,-0.3803,-0.1801,0.9787,0.5983,0.0638,0.0343,-0.0312,-0.0003,0.0074,0.001,0.3843,-0.0562,0.0089,0.3408,0.0018,0.0264,-0.0032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8025,-0.8242,4.1703
